Lotto,Tipologia,Categoria,Genere,Indirizzo,Tipologia 2,Data asta,Indirizzo 2,Prezzo,Offerta minima,Rialzo minimo,Termine presentazione offerte,Modalità gara,Categoria 2,Tipologia 3,Descrizione,Indirizzo 3,Foglio,Particella,Subalterno,Procedura (numero/anno),Tribunale,Tipologia 4,Pubblicazione siti internet Astalegale,Pubblicazione Portale delle Vendite Pubbliche,Numero visualizzazioni,Giudice,Custode,Delegato alla vendita,Data asta :,Tipologia: 1,Data asta:,Tipologia: 2,Ambito:,Email:,Telefono:,url,Cauzione,Professionista Delegato,Liquidatore,Asta del 06/02/2020:,Asta del 20/04/2020:,Asta del 27/11/2020:,Asta del 02/03/2021:,Stato di occupazione,Curatore,Asta del 18/09/2017:,Asta del 18/10/2017:,Asta del 20/11/2017:,Asta del 05/02/2018:,Asta del 05/03/2018:,Asta del 03/04/2018:,Asta del 12/01/2021:,Liquidatore Giudiziale,Asta del 31/10/2014:,Asta del 27/03/2015:,Asta del 31/03/2017:,Asta del 06/07/2017:,Asta del 05/10/2017:,Asta del 31/01/2018:,Asta del 12/12/2018:,Asta del 10/04/2019:,Asta del 24/07/2019:,Asta del 26/03/2020:,Asta del 25/11/2020:,Asta del 10/03/2021:,Soggetto specializzato alla vendita,Zona,Altro Soggetto,Asta del 19/10/2015:,Asta del 20/11/2015:,Asta del 27/11/2015:,Asta del 16/12/2015:,Asta del 18/01/2016:,Asta del 27/01/2016: 1,Asta del 27/01/2016: 2,Asta del 18/02/2016: 1,Asta del 18/02/2016: 2,Asta del 22/02/2016:,Asta del 02/03/2016:,Asta del 13/04/2016:,Asta del 20/04/2016:,Asta del 27/04/2016:,Asta del 28/04/2016:,Asta del 20/07/2016:,Asta del 14/09/2016: 1,Asta del 14/09/2016: 2,Asta del 21/09/2016:,Asta del 13/10/2016: 1,Asta del 13/10/2016: 2,Asta del 26/10/2016:,Asta del 03/11/2016: 1,Asta del 03/11/2016: 2,Asta del 15/11/2016: 1,Asta del 15/11/2016: 2,Asta del 16/11/2016:,Asta del 20/01/2017: 1,Asta del 20/01/2017: 2,Asta del 25/01/2017: 1,Asta del 25/01/2017: 2,Asta del 25/01/2017: 3,Asta del 16/02/2017:,Asta del 22/02/2017: 1,Asta del 22/02/2017: 2,Asta del 22/02/2017: 3,Asta del 24/02/2017:,Asta del 04/04/2017: 1,Asta del 04/04/2017: 2,Asta del 05/04/2017: 1,Asta del 05/04/2017: 2,Asta del 16/05/2017: 1,Asta del 16/05/2017: 2,Asta del 24/05/2017:,Asta del 15/06/2017:,Asta del 28/06/2017: 1,Asta del 28/06/2017: 2,Asta del 28/06/2017: 3,Asta del 28/06/2017: 4,Asta del 05/07/2017: 1,Asta del 05/07/2017: 2,Asta del 13/07/2017: 1,Asta del 13/07/2017: 2,Asta del 25/10/2017: 1,Asta del 25/10/2017: 2,Asta del 25/10/2017: 3,Asta del 13/12/2017: 1,Asta del 13/12/2017: 2,Asta del 13/12/2017: 3,Asta del 24/01/2018:,Asta del 11/05/2018:,Asta del 18/07/2018:,Asta del 20/07/2018:,Asta del 12/09/2018:,Asta del 03/10/2018:,Asta del 29/11/2018: 1,Asta del 29/11/2018: 2,Asta del 05/12/2018: 1,Asta del 05/12/2018: 2,Asta del 05/12/2018: 3,Asta del 05/12/2018: 4,Asta del 12/12/2018: 1,Asta del 12/12/2018: 2,Asta del 12/12/2018: 3,Asta del 12/12/2018: 4,Asta del 16/01/2019:,Asta del 27/02/2019: 1,Asta del 27/02/2019: 2,Asta del 27/02/2019: 3,Asta del 28/02/2019:,Asta del 29/04/2019:,Asta del 12/06/2019: 1,Asta del 12/06/2019: 2,Asta del 18/06/2019:,Asta del 19/06/2019:,Asta del 20/06/2019: 1,Asta del 20/06/2019: 2,Asta del 24/09/2019:,Asta del 09/10/2019: 1,Asta del 09/10/2019: 2,Asta del 14/10/2019:,Asta del 16/10/2019:,Asta del 30/10/2019:,Asta del 18/12/2019: 1,Asta del 18/12/2019: 2,Asta del 18/12/2019: 3,Asta del 17/03/2020:,Asta del 18/03/2020: 1,Asta del 18/03/2020: 2,Asta del 18/03/2020: 3,Asta del 13/05/2020: 1,Asta del 13/05/2020: 2,Asta del 24/06/2020:,Asta del 26/06/2020:,Asta del 21/10/2020: 1,Asta del 21/10/2020: 2,Asta del 10/02/2021:,Asta del 23/02/2021:,08/01/2021,Asta del 01/04/2019:,Asta del 30/07/2019:,Asta del 08/01/2020:,Asta del 29/04/2020:,Asta del 29/09/2020:,Asta del 04/02/2021:,Superficie,Asta del 30/03/2018:,Asta del 31/07/2018:,Asta del 18/12/2018:,Asta del 03/04/2019:,Asta del 17/09/2019:,Asta del 28/02/2020:,Asta del 02/10/2020:,Asta del 02/02/2021:,Asta del 03/04/2020:,Asta del 13/11/2020:,Asta del 12/02/2021:,Rinviata al,Rinviata al: 1,Rinviata al: 2,04/06/2020,18/11/2020,26/06/2020,22/03/2020,Termine presentazione offerte :,Termine presentazione offerte:,Asta del 16/11/2017:,Asta del 08/03/2018:
LOTTO UNICO,Abitazione di tipo civile,Immobile Residenziale,Immobili,"Località Cerenova, Via Luni, 27 00052 Cerveteri (RM) Italia",Senza incanto,26/02/2021 15:20,"Sala aste Telematiche del Tribunale di Civitavecchia in Via Sofia De Filippi Mariani n. 5, presso il ""Centro Commerciale La Stazione"", primo piano e tramite il portale del gestore telematico indicato nell'avviso di vendita. 00053 Civitavecchia (RM) Italia","110.000,00 €","82.500,00 (2)","3.500,00",25/02/2021 13:00,Sincrona mista,Immobile Residenziale,Abitazione di tipo civile,"Piena proprietà di villino a schiera, composto da cucina, soggiorno, due stanze, bagno e corridoio. Portico, 3 depositi esterni non comunicanti e corte esclusiva.","Località Cerenova, Via Luni, 27 00052 Cerveteri (RM) Italia",54,1532,501,342 / 2015,Civitavecchia,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,29/12/2020 (1),18/12/2020 (2),75,Empty,Empty,Empty,26/02/2021 15:20,Abitazione di tipo civile,26/02/2021 15:20,Abitazione di tipo civile,Vendite pubbliche,garaimmobiliare@astalegale.net,02 800 300 21,https://www.astalegale.net/Immobili/Detail/b1902586-Abitazione-di-tipo-civile-Localit-Cerenova-Via-Luni-27-Cerveteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unico,Abitazione di tipo civile,Immobile Residenziale,Immobili,Localita' Isola Sacra - Via Ugo del Curto 36 Fiumicino (RM),Senza incanto,02/03/2021 18:00,Localita' Isola Sacra - Via Ugo del Curto 36 Fiumicino (RM),"151.969,00 €",,"3.000,00 €",02/03/2021 12:00,,Immobile Residenziale,Abitazione di tipo civile,Porzione di villino bifamiliare disposto su tre livelli oltre area e corte.,,,,,May-18,Civitavecchia,Procedure concorsuali / Fallimentare,28/12/2020 (1),,83,Empty,,,02/03/2021 18:00,Abitazione di tipo civile,02/03/2021 18:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1913283-Abitazione-di-tipo-civile-Localita-Isola-Sacra---Via-Ugo-del-Curto-36-Fiumicino,10%,Empty,Empty,"270.166,00 €","202.625,00 €","202.625,00 €","151.969,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Abitazione di tipo civile,Immobile Residenziale,Immobili,Via FALISCA SNC 00068 Rignano Flaminio (RM),Senza incanto,12/01/2021 15:30,Tribunale di 63100 Ascoli Piceno (AP),"121.129,60 €","121.129,60 €","3,00 %",11/01/2021 19:30,,Immobile Residenziale,Abitazione di tipo civile,"Unita immobiliare che si sviluppa al 2 e terzo piano composto da soggiorno tinello 3 camere due bagni portico terrazzo al piano secondo, cucina due camere bagno e terrazzo al terzo piano.",Via FALISCA SNC 00068 Rignano Flaminio (RM),,,,Jan-13,Ascoli Piceno,Procedure concorsuali / Fallimentare,23/12/2020 (1),,100,Empty,,,12/01/2021 15:30,Abitazione di tipo civile,12/01/2021 15:30,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1901898-Abitazione-di-tipo-civile-Via-FALISCA-SNC-Rignano-Flaminio,10%,,,,,,,Occupato,Empty,"362.000,00 €","325.800,00 €","293.220,00 €","219.915,00 €","197.924,00 €","178.132,00 €","121.129,60 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Garage o autorimessa,Immobile Commerciale,Immobili,"Via dei Baglioni,9 00164 Roma (RM) Italia",Senza incanto,10/03/2021 15:00,"Via della Pila,2 01100 Viterbo (VT) Italia","334.300,00 €","0,00","33.430,00",09/03/2021 12:00,Altra modalità,Immobile Commerciale,Garage o autorimessa,"Diritto di superficie con scadenza 18/10/2095 su box auto siti in Roma, Via dei Baglioni, 9 realizzati in conformità alla legge 122/1981 (legge Tognoli). Box dal n. 77 al n. 134, esclusi quelli venduti e quelli al momento non disponibili come da avviso di vendita. Sarà possibile formulare anche offerte di acquisto separate per ogni singolo box. Prezzo base indicato nell'avviso di vendita allegato. Per le modalità di partecipazione alla vendita (con offerte da presentarsi a mezzo raccomandata a/r), seguire le indicazioni meglio specificate negli allegati. Consultazione presso la Cancelleria. Maggiori informazioni presso il Liquidatore giudiziale Dott. Massimo Cinesi - Tel. 0761/325877, fax 0761/346236 - studiocinesi@libero.it Sarà possibile visionare i box nei giorni di visita in programma: Torrevecchia - Via Montebruno, 29 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 10:00 alle ore 12:00; Bravetta - Via dei Baglioni, 9 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 14:00 alle ore 15:30; Tor Sapienza - Via Rosati 41 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 16:30 alle ore 18:00. Chiamare comunque per confermare l'appuntamento di visita.",Via dei Baglioni 9 00164 Roma (RM) Italia,419,3627,,May-12,Viterbo,PROCEDURE CONCORSUALI - NUOVO CONCORDATO PREVENTIVO,22/12/2020 (1),22/12/2020 (2),71,,,,10/03/2021 15:00,Garage o autorimessa,10/03/2021 15:00,Garage o autorimessa,,,,https://www.astalegale.net/Immobili/Detail/b1902082-Garage-o-autorimessa-Via-dei-Baglioni9-Roma,,,,,,,,,,,,,,,,,Empty,"9.399.432,97 €","8.730.000,00 €","7.929.724,00 €","7.532.257,07 €","7.033.548,69 €","6.536.247,35 €","648.300,00 €","556.500,00 €","482.400,00 €","423.500,00 €","399.800,00 €","334.300,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Garage o autorimessa,Immobile Commerciale,Immobili,Via dei Baglioni n.9 00164 Roma (RM) Italia,Senza incanto,10/03/2021 15:00,Via della Pila n.2 01100 Viterbo (VT) Italia,"15.100,00 €","0,00","1.510,00",09/03/2021 12:00,Altra modalità,Immobile Commerciale,Garage o autorimessa,"Diritto di superficie con scadenza 18/10/2095 su posti moto siti in Roma, Via dei Baglioni, 9 realizzati in conformità alla legge 122/1981 (legge Tognoli). Posti auto dal n. 135 al n. 145. Sarà possibile formulare anche offerte di acquisto separate per ogni singolo posto moto. Prezzo base indicato nell'avviso di vendita allegato. Per le modalità di partecipazione alla vendita (con offerte da presentarsi a mezzo raccomandata a/r), seguire le indicazioni meglio specificate negli allegati. Consultazione presso la Cancelleria. Maggiori informazioni presso il Liquidatore giudiziale Dott. Massimo Cinesi - Tel. 0761/325877, fax 0761/346236 - studiocinesi@libero.it Sarà possibile visionare i box nei giorni di visita in programma: Torrevecchia - Via Montebruno, 29 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 10:00 alle ore 12:00; Bravetta - Via dei Baglioni, 9 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 14:00 alle ore 15:30; Tor Sapienza - Via Rosati 41 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 16:30 alle ore 18:00. Chiamare comunque per confermare l'appuntamento di visita.","Via dei Baglioni,9 00164 Roma (RM) Italia",419,3627,,May-12,Viterbo,PROCEDURE CONCORSUALI - NUOVO CONCORDATO PREVENTIVO,22/12/2020 (1),22/12/2020 (2),60,,,,10/03/2021 15:00,Garage o autorimessa,10/03/2021 15:00,Garage o autorimessa,,,,https://www.astalegale.net/Immobili/Detail/b1902084-Garage-o-autorimessa-Via-dei-Baglioni-n9-Roma,,,,,,,,,,,,,,,,,Empty,"9.399.432,97 €","8.730.000,00 €","7.929.724,00 €","7.532.257,07 €","7.033.548,69 €","6.536.247,35 €","17.600,00 €","16.300,00 €","15.100,00 €","15.100,00 €","15.100,00 €","15.100,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Garage o autorimessa,Immobile Commerciale,Immobili,Via Montebruno n.29 00168 Roma (RM) Italia,Senza incanto,10/03/2021 15:00,"Via della Pila, 2 01100 Viterbo (VT) Italia","899.500,00 €","0,00","89.950,00",09/03/2021 12:00,Altra modalità,Immobile Commerciale,Garage o autorimessa,"Diritto di superficie con scadenza 26/05/2093 su box siti in Roma, Via Montebruno, 29 realizzati in conformità alla legge 122/1981 (legge Tognoli). Box auto dal n. 149 al n. 289, esclusi quelli venduti e quelli al momento non disponibili come da avviso di vendita. Sarà possibile formulare anche offerte di acquisto separate per ogni singolo box. Prezzo base indicato nell'avviso di vendita allegato. Per le modalità di partecipazione alla vendita (con offerte da presentarsi a mezzo raccomandata a/r), seguire le indicazioni meglio specificate negli allegati. Consultazione presso la Cancelleria. Maggiori informazioni presso il Liquidatore giudiziale Dott. Massimo Cinesi - Tel. 0761/325877, fax 0761/346236 - studiocinesi@libero.it Sarà possibile visionare i box nei giorni di visita in programma: Torrevecchia - Via Montebruno, 29 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 10:00 alle ore 12:00; Bravetta - Via dei Baglioni, 9 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 14:00 alle ore 15:30; Tor Sapienza - Via Rosati 41 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 16:30 alle ore 18:00. Chiamare comunque per confermare l'appuntamento di visita.","Via Montebruno, 29 00168 Roma (RM) Italia",360,2762,,May-12,Viterbo,PROCEDURE CONCORSUALI - NUOVO CONCORDATO PREVENTIVO,22/12/2020 (1),22/12/2020 (2),62,,,,10/03/2021 15:00,Garage o autorimessa,10/03/2021 15:00,Garage o autorimessa,,,,https://www.astalegale.net/Immobili/Detail/b1902085-Garage-o-autorimessa-Via-Montebruno-n29-Roma,,,,,,,,,,,,,,,,,Empty,"9.399.432,97 €","8.730.000,00 €","7.929.724,00 €","7.532.257,07 €","7.033.548,69 €","6.536.247,35 €","1.510.000,00 €","1.335.100,00 €","1.139.900,00 €","1.078.500,00 €","1.020.000,00 €","899.500,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garage o autorimessa,Immobile Commerciale,Immobili,"Via Giuseppe Rosati,41 00155 Roma (RM) Italia",Senza incanto,10/03/2021 15:00,"Via della Pila, 2 01100 Viterbo (VT) Italia","620.800,00 €","0,00","62.080,00",09/03/2021 12:00,Altra modalità,Immobile Commerciale,Garage o autorimessa,"Diritto di superficie con scadenza 18/10/2095 sui box auto siti in via Giuseppe Rosati n.41 realizzati in conformità alla legge 122/1981 (legge Tognoli). Box dal n. 1 al n. 73, esclusi quelli venduti e quelli al momento non disponibili come da avviso di vendita. Sarà possibile formulare anche offerte di acquisto separate per ogni singolo box. Prezzo base indicato nell'avviso di vendita allegato. Per le modalità di partecipazione alla vendita (con offerte da presentarsi a mezzo raccomandata a/r), seguire le indicazioni meglio specificate negli allegati. Consultazione presso la Cancelleria. Maggiori informazioni presso il Liquidatore giudiziale Dott. Massimo Cinesi - Tel. 0761/325877, fax 0761/346236 - studiocinesi@libero.it Sarà possibile visionare i box nei giorni di visita in programma: Torrevecchia - Via Montebruno, 29 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 10:00 alle ore 12:00; Bravetta - Via dei Baglioni, 9 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 14:00 alle ore 15:30; Tor Sapienza - Via Rosati 41 - Giovedì 14 gennaio, 4 febbraio, 25 febbraio dalle ore 16:30 alle ore 18:00. Chiamare comunque per confermare l'appuntamento di visita.","Via Giuseppe Rosati,41 00155 Roma (RM) Italia",638,1420,,May-12,Viterbo,PROCEDURE CONCORSUALI - NUOVO CONCORDATO PREVENTIVO,22/12/2020 (1),22/12/2020 (2),77,,,,10/03/2021 15:00,Garage o autorimessa,10/03/2021 15:00,Garage o autorimessa,,,,https://www.astalegale.net/Immobili/Detail/b1902081-Garage-o-autorimessa-Via-Giuseppe-Rosati41-Roma,,,,,,,,,,,,,,,,,Empty,"9.399.432,97 €","8.730.000,00 €","7.929.724,00 €","7.532.257,07 €","7.033.548,69 €","6.536.247,35 €","954.700,00 €","858.600,00 €","716.300,00 €","662.600,00 €","654.700,00 €","620.800,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6375,Fabbricati costruiti per esigenze commerciali,Immobile Commerciale,Immobili,"via collatina, n. 413 Roma (RM) Italia",Competitiva,24/02/2021 10:00,"via collatina, n. 413 Roma (RM) Italia","2.555.771,00 €","2.555.771,00","5.000,00",23/02/2021 13:00,Asincrona,Immobile Industriale,Opificio industriale,Bene 1 - D/1,,604,289,501,29 / 2017,Castrovillari,PROCEDURE CONCORSUALI - FALLIMENTARE (nuovo rito),14/12/2020 (1),10/12/2020 (2),124,,,,24/02/2021 10:00,Fabbricati costruiti per esigenze commerciali,24/02/2021 10:00,Fabbricati costruiti per esigenze commerciali,,,,https://www.astalegale.net/Immobili/Detail/b1899716-Fabbricati-costruiti-per-esigenze-commerciali-via-collatina-n-413-Roma,,,,,,,,,Empty,,,,,,,,,,,,,,,,,,,,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Terreno,Altra categoria,Immobili,Via CERQUETE (DELLE) 00132 Roma (RM),Senza incanto,23/02/2021 12:00,Studio Notaio Federico Basile Viale Liegi n. 1 Roma (RM),"4.163.415,82 €",,,22/02/2021 12:00,,Altra categoria,Terreno,Terreno edificabile di circa mq 30.000 con capacità edificatoria di 76.160 mc equivalenti a circa mq 23.800 mc di superficie residenziale.,Via CERQUETE (DELLE) 00132 Roma (RM),,,,3406 / 2013,Bolzano - Bozen,Volontaria giurisdizione / Volontaria giurisdizione,11/12/2020 (1),,127,,,,23/02/2021 12:00,Terreno,23/02/2021 12:00,Terreno,,,,https://www.astalegale.net/Immobili/Detail/b1900353-Terreno-Via-CERQUETE-DELLE-Roma,,,,,,,,,,,"677.200,00 €",,,,,,,,,,,,,,,,,,,,Lunghezza,Empty,"160.000,00 €","120.000,00 €","80.000,00 €","850.000,00 €","90.000,00 €","60.000,00 €","35.000,00 €","161.000,00 €","85.000,00 €","18.000.000,00 €","637.500,00 €","35.000,00 €","1.000.000,00 €","19.500.000,00 €","104.000,00 €","35.000,00 €","87.550,00 €","138.295,00 €","990.000,00 €","5.000.000,00 €","6.484.000,00 €","17.550.000,00 €","35.000,00 €","425.000,00 €","124.465,50 €","78.795,00 €","104.328,00 €","4.000.000,00 €","5.511.400,00 €","940.500,00 €","1.377.815,00 €","1.630.000,00 €","14.580.000,00 €","14.040.000,00 €","29.750,00 €","361.250,00 €","88.678,80 €","3.400.000,00 €","4.685.000,00 €","1.102.300,00 €","846.450,00 €","71.000,00 €","85.000,00 €","450.000,00 €","13.851.000,00 €","11.232.000,00 €","23.800,00 €","289.000,00 €","11.232.000,00 €","846.450,00 €","937.000,00 €","3.982.000,00 €","2.720.000,00 €","21.400,00 €","245.700,00 €","8.985.600,00 €","21.000,00 €","240.800,00 €","8.985.600,00 €","2.987.000,00 €","102.235.000,00 €","9.500,00 €","13.158.450,00 €","9.500,00 €","575.620,00 €","2.312.000,00 €","796.450,00 €","60.350,00 €","1.150.000,00 €","850.000,00 €","72.250,00 €","240.000,00 €","24.300,00 €","19.000,00 €","22.200,00 €","8.087.000,00 €","55.000,00 €","637.500,00 €","862.500,00 €","1.965.000,00 €","6.469.600,00 €","478.125,00 €","646.875,00 €","9.868.837,50 €","1.729.200,00 €","14.250,00 €","16.600,00 €","7.401.628,13 €","358.600,00 €","485.200,00 €","4.852.000,00 €","1.504.400,00 €","13.300,00 €","268.900,00 €","1.128.300,00 €","363.900,00 €","5.551.221,09 €","201.700,00 €","1.100.000,00 €","272.900,00 €","10.640,00 €","3.881.600,00 €","160.000,00 €","5.551.221,09 €","10.640,00 €","3.881.600,00 €","3.105.280,00 €","4.163.415,82 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTTO UNICO,Fabbricati costruiti per esigenze commerciali,Immobile Commerciale,Immobili,Via COSMEE (DELLE) 211/213 00134 Roma (RM) Italia,Senza incanto,04/02/2021 10:30,"via Andrea Solario, 97 00142 Roma (RM) Italia","650.000,00 €","650.000,00","10.000,00",03/02/2021 12:00,Sincrona mista,Immobile Commerciale,Fabbricati costruiti per esigenze commerciali,"STABILIMENTO DI SMALTIMENTO DI RIFIUTI IN STATO DI ABBANDONO COMPOSTO DA BENI IMMOBILI E BENI MOBILI COME MEGLIO DESCRlTTl NELLA PERIZIA DI VALUTAZIONE REDATTA DAL PERITO DOTT. FERNANDO MAURIZI, ALLEGATA ALLA DOCUMENTAZIONE DI VENDITA. SI PRECISA CHE: i sopralluoghi presso lo stabilimento saranno sospesi per il periodo 23/12/2020-8/1/2021 compreso. Pertanto riprenderanno dal giorno 11 Gennaio 2021 considerando che i giorni 9 e 10 Gennaio sono rispettivamente un sabato ed una domenica.",Via COSMEE (DELLE) 211/213 00134 Roma (RM) Italia,,,,915 / 2016,Roma,PROCEDURE CONCORSUALI - FALLIMENTARE (nuovo rito),10/12/2020 (1),14/12/2020 (2),126,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)",,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)",04/02/2021 10:30,Fabbricati costruiti per esigenze commerciali,04/02/2021 10:30,Fabbricati costruiti per esigenze commerciali,Vendite pubbliche,garaimmobiliare@astalegale.net,02 800 300 21,https://www.astalegale.net/Immobili/Detail/b1899923-Fabbricati-costruiti-per-esigenze-commerciali-Via-COSMEE-DELLE-211213-Roma,,,,,,,,,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)","1.390.000,00 €","1.251.000,00 €","1.000.000,00 €","800.000,00 €","720.000,00 €","650.000,00 €",,,,,,,,,,,,,,,,,,,,,,,
