price,type,address,url,postcode,number_bedrooms,search_date
7800.0,"
            3 bedroom apartment        ","
            ",/properties/126234677#/?channel=RES_LET,,3,11/09/2022
3200.0,"
            5 bedroom terraced house        ","
            ",/properties/126957368#/?channel=RES_LET,,5,11/09/2022
1990.0,"
            Studio flat        ","
            ",/properties/126957365#/?channel=RES_LET,,0,11/09/2022
1350.0,"
            1 bedroom flat        ","
        ",/properties/126957362#/?channel=RES_LET,,1,11/09/2022
5500.0,"
            5 bedroom semi-detached house        ","
            ",/properties/126957359#/?channel=RES_LET,,5,11/09/2022
1350.0,"
            Studio flat        ","
            ",/properties/126957347#/?channel=RES_LET,,0,11/09/2022
850.0,"
            Studio flat        ","
            ",/properties/126957344#/?channel=RES_LET,,0,11/09/2022
2005.0,"
            2 bedroom end of terrace house        ","
        ",/properties/126957329#/?channel=RES_LET,,2,11/09/2022
4500.0,"
            2 bedroom flat        ","
            ",/properties/126957326#/?channel=RES_LET,,2,11/09/2022
1863.0,"
            2 bedroom flat        ","
            ",/properties/126953132#/?channel=RES_LET,,2,11/09/2022
1777.0,"
            2 bedroom terraced house        ","
            ",/properties/126957146#/?channel=RES_LET,,2,11/09/2022
1600.0,"
            2 bedroom flat        ","
        ",/properties/126957110#/?channel=RES_LET,,2,11/09/2022
1695.0,"
            1 bedroom flat        ","
            ",/properties/126957116#/?channel=RES_LET,,1,11/09/2022
2400.0,"
            2 bedroom apartment        ","
            ",/properties/85557891#/?channel=RES_LET,,2,11/09/2022
1450.0,"
            1 bedroom flat        ","
            ",/properties/126957041#/?channel=RES_LET,,1,11/09/2022
1820.0,"
            2 bedroom terraced house        ","
        ",/properties/126957155#/?channel=RES_LET,,2,11/09/2022
6933.0,"
            2 bedroom flat        ","
            ",/properties/126957005#/?channel=RES_LET,,2,11/09/2022
1395.0,"
            1 bedroom flat        ","
            ",/properties/126956942#/?channel=RES_LET,,1,11/09/2022
1950.0,"
            1 bedroom flat        ","
            ",/properties/126956930#/?channel=RES_LET,,1,11/09/2022
4500.0,"
            3 bedroom apartment        ","
        ",/properties/126956924#/?channel=RES_LET,,3,11/09/2022
1600.0,"
            1 bedroom terraced house        ","
            ",/properties/126945164#/?channel=RES_LET,,1,11/09/2022
1790.0,"
            2 bedroom terraced house        ","
            ",/properties/126956843#/?channel=RES_LET,,2,11/09/2022
2700.0,"
            1 bedroom apartment        ","
            ",/properties/115918328#/?channel=RES_LET,,1,11/09/2022
2296.0,"
            2 bedroom ground floor flat        ","
        ",/properties/104187953#/?channel=RES_LET,,2,11/09/2022
1400.0,"
            Studio flat        ","
            ",/properties/126956723#/?channel=RES_LET,,0,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
            ",,,,11/09/2022
,,"
        ",,,,11/09/2022
